经销商代码之计数,经销商名称之计数,经销商简称,省份,城市,投资主体,状态,服务大区,服务区域经理,3月零附件目标,3月零附件达成,3月达成率,Q1零件目标,Q1零件达成,Q1达成率,机油金额,保养台次,机油单车,事故件金额,事故台次,事故单车,工单数
A13311,宁波鑫之源汽车有限公司,宁波鑫之源,浙江省,宁波市,宁波鑫之源,正常,东区,李波,1038600,329731.0599999997,0.31747646832274184,2589100,1838041.2999999998,0.7099151442586226,43367.16,243.0,178.4656790123457,114808.08000000007,39.0,2943.796923076925,376.0
A13314,海口优之杰汽车服务有限公司,海口优之杰,海南省,海口市,海口优之杰,正常,南区,宋扬,1112700,370515.55999999976,0.3329878314010962,2774000,2101606.21,0.7576085832732516,60424.200000000004,344.0,175.65174418604653,154183.80999999994,15.0,10278.920666666663,515.0
A15217,杭州骏田汽车有限公司,杭州骏田,浙江省,杭州市,广成集团,正常,东区,李波,1218700,473841.60999999935,0.3888090670386472,3038200,2353879.6799999992,0.774761266539398,116978.84999999999,363.0,322.2557851239669,164449.71,5.0,32889.941999999995,466.0
A13291,南京天和汽车销售服务有限公司,南京天和,江苏省,南京市,南京天和,正常,东区,钱曦,847800,580429.8699999999,0.6846306558150506,2113600,2354545.5599999996,1.11399771006813,60603.78,274.0,221.18167883211677,304550.5499999999,50.0,6091.010999999998,513.0
A13297,常州外汽永嘉汽车销售服务有限公司,常州外汽永嘉,江苏省,常州市,常州外汽,正常,东区,晏礼奎,794800,177579.74999999985,0.22342696275792634,1981500,1389508.8299999998,0.7012408932626797,12240.0,156.0,78.46153846153847,82308.35,23.0,3578.6239130434783,239.0
M18224,广州市福马汽车销售服务有限公司,广州市福马,广东省,广州市,广州东富,正常,南区,王胜文,900800,228463.07000000007,0.253622413410302,2245700,1250969.85,0.5570511867123837,37819.74,124.0,304.99790322580645,90073.82000000002,29.0,3105.993793103449,312.0
A13475,西安骏雄汽车销售服务有限公司,西安骏雄,陕西省,西安市,西安骏广,正常,西区,李兴坤,936000,266615.4199999998,0.284845534188034,2333400,1562854.06,0.6697754607011228,19263.120000000003,216.0,89.18111111111112,118274.85999999999,1.0,118274.85999999999,275.0
A22796,陕西广行汽车销售服务有限公司,陕西广行,陕西省,西安市,西安骏广,正常,西区,李兴坤,903700,247887.2299999997,0.27430256722363583,2253000,1358765.2899999998,0.6030915623612959,17464.14,181.0,96.48696132596685,113885.78,2.0,56942.89,232.0
A17997,武汉银马汽车销售有限公司,武汉银马,湖北省,武汉市,建银集团,正常,中区,张哲,794800,278876.82999999984,0.35087673628585786,1981500,1511310.0199999998,0.7627100782235678,73767.36,166.0,444.38168674698795,87567.37000000004,0.0,,236.0
A13776,浙江裕菲汽车销售服务有限公司,浙江裕菲,浙江省,杭州市,浙江裕非,正常,东区,李波,877500,398051.7599999994,0.4536202393162387,2187600,1901075.0699999994,0.86902316236972,64070.28,204.0,314.07,138539.87,8.0,17317.48375,279.0
M18349,广西鑫广达汽车销售服务有限公司,广西鑫广达,广西壮族自治区,南宁市,长久集团,正常,南区,薛仲锋,699500,318229.38999999966,0.45493837026447415,1743800,1595303.5199999996,0.9148431700883126,17136.0,196.0,87.42857142857143,126270.91000000002,2.0,63135.45500000001,364.0
A28856,重庆银马汽车销售服务有限公司,重庆银马,重庆市,重庆市,重庆银马,正常,西区,孔立刚,763000,294240.9899999998,0.3856369462647442,1902200,1395188.65,0.7334605456839448,43987.770000000004,174.0,252.803275862069,120094.19000000005,2.0,60047.09500000002,219.0
A13302,合肥建银海康达汽车销售有限公司,合肥建银海康,安徽省,合肥市,建银集团,正常,中区,李伟,763000,144555.75999999986,0.1894570904325031,1902200,1590472.0999999996,0.8361224371780043,7344.0,117.0,62.76923076923077,48016.11,30.0,1600.537,194.0
M18892,辽宁驰敖中联汽车销售服务有限公司,辽宁驰敖中联,辽宁省,沈阳市,辽宁驰敖,正常,北区,鲁金泽,736900,208477.56000000006,0.2829116026597911,1837100,1388968.4300000002,0.7560657721408743,51653.04,230.0,224.5784347826087,74479.51,76.0,979.9935526315788,400.0
A13342,珠海市新通达汽车销售服务有限公司,珠海市新通达,广东省,珠海市,深圳通利华,正常,南区,宋扬,752400,274692.0099999999,0.36508773258904825,1875800,1534628.46,0.8181194477023137,23216.22,147.0,157.9334693877551,121245.37999999998,31.0,3911.14129032258,260.0
M18270,山东惠骋汽车贸易有限公司,山东惠骋,山东省,济南市,山东顺骋集团,正常,中区,李伟,635900,166790.26,0.26229007705614094,1585300,1054507.98,0.6651788178893585,44083.8,167.0,263.9748502994012,45433.75,4.0,11358.4375,204.0
A13289,大连众联达贸易有限公司,大连众联达,辽宁省,大连市,长久集团,正常,北区,唐宏宇,722800,175722.66,0.24311380741560598,1801900,1215833.78,0.6747509739719185,28127.25,106.0,265.35141509433964,85118.99000000002,35.0,2431.9711428571436,199.0
A13343,深圳通利华宝安汽车销售服务有限公司,深圳通利华宝,广东省,深圳市,深圳通利华,正常,南区,薛仲锋,784200,420219.49999999907,0.5358575618464666,1955000,1701051.989999999,0.8701033196930942,7344.0,67.0,109.61194029850746,179135.1500000001,22.0,8142.506818181823,228.0
M18238,1衡阳致瑞汽车销售服务有限公司,衡阳致瑞,湖南省,衡阳市,湖南长驰,正常,南区,李志杰,635900,197606.69999999992,0.3107512187450856,1585300,1673142.73,1.0554107929098593,4896.0,170.0,28.8,53816.190000000024,49.0,1098.289591836735,330.0
A15940,昆明京源达汽车销售有限责任公司,昆明京源达,云南省,昆明市,正能量集团,正常,西区,蒋旗,750300,297798.66999999975,0.3969061308809806,1870500,1452252.0699999996,0.7763977920342152,29841.93,149.0,200.28140939597316,122180.03000000006,8.0,15272.503750000007,204.0
A18077,深圳通利华福滨汽车服务有限公司,通利华福滨,广东省,深圳市,深圳通利华,正常,南区,薛仲锋,784200,325074.45999999973,0.4145300433562863,1955000,1470356.9799999997,0.752100757033248,39771.03,62.0,641.4682258064516,134934.40999999995,0.0,,147.0
M18538,上海交运起荣汽车销售服务有限公司,上海交运起荣,上海市,上海市,上海交运,正常,东区,张晔,575500,141286.56,0.24550227628149435,1434600,1034656.3600000001,0.7212159208141643,22253.340000000004,126.0,176.61380952380955,53391.16000000001,14.0,3813.6542857142863,194.0
M18026,南京天瑞汽车销售服务有限公司,南京天瑞,江苏省,南京市,南京天和,正常,东区,钱曦,529900,121919.64000000001,0.23008046801283263,1321100,1075665.65,0.8142197032775716,15660.6,102.0,153.53529411764706,34200.079999999994,0.0,,162.0
A13339,惠州市通力达汽车销售服务有限公司,惠州市通力达,广东省,惠州市,深圳通利华,正常,南区,张裕坤,688900,350744.72999999986,0.5091373639134851,1717300,1309133.52,0.7623208059162639,32804.520000000004,156.0,210.28538461538463,130477.69999999997,23.0,5672.943478260868,276.0
A13308,义乌市祥马汽车销售服务有限公司,义乌市祥马,浙江省,金华市,赵龙集团,正常,东区,陈秋刚,679300,223344.85999999993,0.32878678050934773,1693500,1271324.8399999999,0.7507084971951579,20766.6,164.0,126.62560975609755,86673.98999999998,2.0,43336.99499999999,203.0
A14981,江门市振宇汽车销售服务有限公司,江门市振宇,广东省,江门市,江门振升,正常,南区,宋扬,614700,204101.27999999988,0.3320339677891653,1532400,1163173.0199999998,0.7590531323414251,27904.56,103.0,270.9180582524272,110995.17000000003,0.0,,274.0
M18571,重庆万事新汽车销售服务有限公司,重庆万事新,重庆市,重庆市,重庆万事新,正常,西区,孔立刚,640000,154327.93999999994,0.2411374062499999,1620000,1430063.5299999998,0.8827552654320986,12240.0,150.0,81.6,68406.23000000003,37.0,1848.8170270270277,270.0
A17995,哈尔滨龙洋汽车销售有限公司,哈尔滨龙洋,黑龙江省,哈尔滨市,西安骏广,正常,北区,邵传海,607300,217351.51999999981,0.357898106372468,1513900,1289566.6299999997,0.8518175771186998,13800.6,194.0,71.13711340206186,91983.70000000004,59.0,1559.045762711865,341.0
M18613,广州博程汽车有限公司,广州博程,广东省,广州市,广州博程,正常,南区,王胜文,423900,62061.19999999999,0.14640528426515687,1056900,337362.22000000003,0.31919975399754,21194.79,66.0,321.1331818181818,14223.960000000001,9.0,1580.44,147.0
M18042,深圳通利华龙城汽车销售服务有限公司,通利华龙城,广东省,深圳市,深圳通利华,正常,南区,薛仲锋,423900,127517.02,0.30081863647086576,1056900,896000.5700000001,0.8477628630901695,9792.0,130.0,75.32307692307693,34417.76999999999,0.0,,196.0
A16596,台州市诺亚汽车贸易有限公司,台州市诺亚,浙江省,台州市,浙江国赛,正常,东区,李波,625300,210438.3999999998,0.33653990084759283,1558800,1040874.4399999998,0.6677408519373876,17142.6,112.0,153.05892857142857,75535.01000000002,36.0,2098.194722222223,197.0
